Date,Confirmed,Deceased,Recovered
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,0,0,0
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,0,0,0
2020-03-24,0,0,0
2020-03-25,3,0,0
2020-03-26,0,0,0
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,2,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-03,1,0,0
2020-04-04,1,0,0
2020-04-05,0,0,0
2020-04-06,0,0,0
2020-04-07,0,0,0
2020-04-08,0,0,0
2020-04-09,0,0,0
2020-04-10,0,0,1
2020-04-11,0,0,4
2020-04-12,0,0,0
2020-04-13,0,0,0
2020-04-14,0,0,0
2020-04-15,0,0,1
2020-04-16,0,0,0
2020-04-17,0,0,0
2020-04-18,0,0,0
2020-04-19,0,0,1
2020-04-20,0,0,0
2020-04-21,0,0,0
2020-04-22,0,0,0
2020-04-23,0,0,0
2020-04-24,0,0,0
2020-04-25,0,0,0
2020-04-26,0,0,0
2020-04-27,0,0,0
2020-04-28,0,0,0
2020-04-29,0,0,0
2020-04-30,0,0,0
2020-05-01,0,0,0
2020-05-02,0,0,0
2020-05-03,0,0,0
2020-05-04,0,0,0
2020-05-05,0,0,0
2020-05-06,0,0,0
2020-05-07,0,0,0
2020-05-08,0,0,0
2020-05-09,0,0,0
2020-05-10,0,0,0
2020-05-11,0,0,0
2020-05-12,0,0,0
2020-05-13,0,0,0
2020-05-14,8,0,0
2020-05-15,0,0,0
2020-05-16,5,0,0
2020-05-17,9,0,0
2020-05-18,9,0,0
2020-05-19,8,0,0
2020-05-20,4,0,0
2020-05-21,2,0,0
2020-05-22,2,0,9
2020-05-23,1,0,0
2020-05-24,11,0,0
2020-05-25,1,0,3
2020-05-26,0,0,9
2020-05-27,1,0,9
2020-05-28,1,0,1
2020-05-29,0,0,3
2020-05-30,1,0,1
2020-05-31,1,0,2
2020-06-01,2,0,6
2020-06-02,6,0,7
2020-06-03,47,0,0
2020-06-04,40,0,0
2020-06-05,30,0,8
2020-06-06,71,0,0
2020-06-07,33,0,0
2020-06-08,30,0,2
2020-06-09,29,0,0
2020-06-10,28,0,0
2020-06-11,30,0,0
2020-06-12,46,0,2
2020-06-13,60,0,1
2020-06-14,41,0,4
2020-06-15,28,0,11
2020-06-16,37,0,0
2020-06-17,27,0,11
2020-06-18,49,0,13
2020-06-19,20,0,9
2020-06-20,29,0,11
2020-06-21,64,0,6
2020-06-22,46,1,17
2020-06-23,45,1,53
2020-06-24,42,0,84
2020-06-25,44,0,46
2020-06-26,44,0,35
2020-06-27,89,0,50
2020-06-28,70,1,58
2020-06-29,53,0,46
2020-06-30,64,0,72
2020-07-01,72,1,74
2020-07-02,95,0,64
2020-07-03,94,0,38
2020-07-04,108,2,53
2020-07-05,77,1,111
2020-07-06,52,0,125
2020-07-07,90,1,95
2020-07-08,136,0,51
2020-07-09,112,1,66
2020-07-10,100,0,74
2020-07-11,117,3,81
2020-07-12,85,2,59
2020-07-13,130,3,53
2020-07-14,170,1,67
2020-07-15,198,0,67
2020-07-16,157,1,143
2020-07-17,196,2,129
2020-07-18,180,0,92
2020-07-19,173,1,180
2020-07-20,196,1,143
2020-07-21,174,3,88
2020-07-22,149,2,92
2020-07-23,174,1,114
2020-07-24,190,0,210
2020-07-25,146,4,182
2020-07-26,175,2,230
2020-07-27,258,1,133
2020-07-28,168,0,185
2020-07-29,202,3,189
2020-07-30,215,3,221
2020-07-31,209,3,206
2020-08-01,280,3,227
2020-08-02,337,5,230
2020-08-03,286,3,208
2020-08-04,259,4,238
2020-08-05,348,4,173
2020-08-06,191,2,166
2020-08-07,333,4,142
2020-08-08,259,2,207
2020-08-09,506,3,193
2020-08-10,317,5,213
2020-08-11,415,6,272
2020-08-12,480,3,161
2020-08-13,570,2,271
2020-08-14,476,2,245
2020-08-15,369,5,331
2020-08-16,300,6,287
2020-08-17,355,7,283
2020-08-18,339,5,298
2020-08-19,342,8,357
2020-08-20,424,2,350
2020-08-21,385,9,477
2020-08-22,306,5,479
2020-08-23,209,4,453
2020-08-24,139,4,437
2020-08-25,392,9,315
2020-08-26,497,8,287
2020-08-27,456,6,356
2020-08-28,523,4,429
2020-08-29,547,3,433
2020-08-30,451,5,457
2020-08-31,414,9,391
2020-09-01,588,2,273
2020-09-02,636,10,209
2020-09-03,713,8,302
2020-09-04,508,8,386
2020-09-05,592,9,534
2020-09-06,374,7,558
2020-09-07,344,9,588
2020-09-08,457,11,448
2020-09-09,621,6,281
2020-09-10,639,6,436
2020-09-11,555,8,473
2020-09-12,740,10,511
2020-09-13,407,4,553
2020-09-14,306,14,519
2020-09-15,613,11,446
2020-09-16,628,4,351
2020-09-17,644,8,399
2020-09-18,596,8,470
2020-09-19,643,7,446
2020-09-20,407,9,537
2020-09-21,324,9,429
2020-09-22,590,8,736
2020-09-23,536,8,395
2020-09-24,673,7,490
2020-09-25,519,3,724
2020-09-26,503,5,688
2020-09-27,384,10,701
2020-09-28,438,6,612
2020-09-29,381,12,709
2020-09-30,641,9,344
2020-10-01,524,12,400
2020-10-02,513,2,479
2020-10-03,445,8,523
2020-10-04,428,6,506
2020-10-05,391,4,423
2020-10-06,519,8,594
2020-10-07,432,9,394
2020-10-08,432,7,458
2020-10-09,489,7,415
2020-10-10,343,8,460
2020-10-11,432,8,426
2020-10-12,308,4,495
2020-10-13,408,3,554
2020-10-14,356,5,479
2020-10-15,332,6,430
2020-10-16,321,6,449
2020-10-17,309,7,425
2020-10-18,187,6,360
2020-10-19,159,5,519
2020-10-20,285,6,361
2020-10-21,308,2,408
2020-10-22,247,7,348
2020-10-23,227,4,390
2020-10-24,218,2,348
2020-10-25,211,6,321
2020-10-26,290,6,343
2020-10-27,215,3,345
2020-10-28,221,7,196
2020-10-29,233,5,194
2020-10-30,215,5,241
2020-10-31,210,2,269
2020-11-01,142,5,237
2020-11-02,186,7,208
2020-11-03,235,2,239
2020-11-04,183,8,249
2020-11-05,172,4,238
2020-11-06,203,3,207
2020-11-07,169,8,183
2020-11-08,149,2,207
2020-11-09,144,4,232
2020-11-10,180,4,199
2020-11-11,109,5,152
2020-11-12,107,0,192
2020-11-13,156,2,167
2020-11-14,84,1,145
2020-11-15,58,3,123
2020-11-16,125,1,285
2020-11-17,154,4,191
2020-11-18,162,3,178
2020-11-19,136,0,157
2020-11-20,152,2,198
2020-11-21,116,3,147
2020-11-22,78,2,167
2020-11-23,75,0,104
2020-11-24,167,2,85
2020-11-25,125,4,61
2020-11-26,148,2,111
2020-11-27,150,1,152
2020-11-28,198,0,163
2020-11-29,115,1,135
2020-11-30,159,1,150
2020-12-01,161,2,128
2020-12-02,117,3,64
2020-12-03,124,3,119
2020-12-04,94,0,124
2020-12-05,115,1,118
2020-12-06,112,1,131
2020-12-07,90,3,154
2020-12-08,159,0,146
2020-12-09,101,2,132
2020-12-10,95,0,159
2020-12-11,104,0,130
2020-12-12,70,2,144
2020-12-13,57,1,101
2020-12-14,112,1,147
2020-12-15,92,3,124
2020-12-16,91,3,104
2020-12-17,88,3,89
2020-12-18,104,2,116
2020-12-19,127,0,110
2020-12-20,88,3,91
2020-12-21,79,2,108
2020-12-22,96,2,88
2020-12-23,125,2,70
2020-12-24,90,1,88
2020-12-25,80,0,101
2020-12-26,61,3,87
2020-12-27,72,0,79
2020-12-28,105,3,91
2020-12-29,112,1,116
2020-12-30,97,2,114
2020-12-31,85,2,75
2021-01-01,69,0,78
2021-01-02,95,0,104
2021-01-03,65,2,83
2021-01-04,40,2,88
2021-01-05,80,1,70
2021-01-06,92,0,82
2021-01-07,119,0,90
2021-01-08,83,0,105
2021-01-09,81,2,89
2021-01-10,66,1,100
2021-01-11,35,2,66
2021-01-12,92,0,94
2021-01-13,96,1,78
2021-01-14,103,2,67
2021-01-15,80,1,61
2021-01-16,83,3,69
2021-01-17,60,0,59
2021-01-18,53,0,66
2021-01-19,112,0,115
2021-01-20,87,0,84
2021-01-21,55,1,54
2021-01-22,70,1,80
2021-01-23,85,3,63
2021-01-24,53,0,102
2021-01-25,57,1,113
2021-01-26,70,1,62
2021-01-27,53,0,90
2021-01-28,85,2,52
2021-01-29,78,1,103
2021-01-30,93,0,76
2021-01-31,53,2,60
