Date,Confirmed,Deceased,Recovered
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,0,0,0
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,0,0,0
2020-03-24,0,0,0
2020-03-25,0,0,0
2020-03-26,0,0,0
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-03,0,0,0
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,1,0,0
2020-04-07,0,0,0
2020-04-08,0,0,0
2020-04-09,0,0,0
2020-04-10,1,0,0
2020-04-11,0,0,0
2020-04-12,0,0,0
2020-04-13,0,0,0
2020-04-14,0,0,0
2020-04-15,0,0,1
2020-04-16,0,0,0
2020-04-17,0,0,0
2020-04-18,0,0,0
2020-04-19,0,0,0
2020-04-20,0,0,0
2020-04-21,0,0,0
2020-04-22,0,0,0
2020-04-23,0,0,1
2020-04-24,0,0,0
2020-04-25,0,0,0
2020-04-26,0,0,0
2020-04-27,0,0,0
2020-04-28,0,0,0
2020-04-29,0,0,0
2020-04-30,1,0,0
2020-05-01,0,0,0
2020-05-02,2,0,0
2020-05-03,12,0,0
2020-05-04,13,0,0
2020-05-05,13,0,0
2020-05-06,22,0,0
2020-05-07,24,0,0
2020-05-08,30,0,0
2020-05-09,17,0,0
2020-05-10,16,0,0
2020-05-11,0,0,0
2020-05-12,2,0,0
2020-05-13,1,0,0
2020-05-14,1,0,27
2020-05-15,0,0,13
2020-05-16,11,0,22
2020-05-17,-2,0,21
2020-05-18,0,0,4
2020-05-19,8,0,27
2020-05-20,0,0,0
2020-05-21,2,0,32
2020-05-22,0,0,4
2020-05-23,16,0,0
2020-05-24,3,0,13
2020-05-25,4,0,0
2020-05-26,34,0,0
2020-05-27,10,0,0
2020-05-28,2,0,2
2020-05-29,10,0,0
2020-05-30,17,0,5
2020-05-31,45,0,1
2020-06-01,107,0,0
2020-06-02,48,0,0
2020-06-03,151,0,0
2020-06-04,24,0,0
2020-06-05,48,0,0
2020-06-06,55,0,0
2020-06-07,53,0,19
2020-06-08,38,0,0
2020-06-09,26,1,0
2020-06-10,31,0,47
2020-06-11,25,0,39
2020-06-12,41,0,0
2020-06-13,83,0,37
2020-06-14,33,0,118
2020-06-15,10,0,0
2020-06-16,1,0,123
2020-06-17,43,0,0
2020-06-18,21,0,83
2020-06-19,27,0,18
2020-06-20,8,0,23
2020-06-21,35,0,79
2020-06-22,16,0,23
2020-06-23,23,0,25
2020-06-24,0,0,97
2020-06-25,32,0,122
2020-06-26,35,0,36
2020-06-27,9,0,16
2020-06-28,12,0,8
2020-06-29,34,0,6
2020-06-30,8,0,0
2020-07-01,8,0,1
2020-07-02,39,0,53
2020-07-03,93,0,53
2020-07-04,25,0,3
2020-07-05,23,0,4
2020-07-06,111,0,13
2020-07-07,24,0,29
2020-07-08,57,0,76
2020-07-09,16,0,14
2020-07-10,142,0,34
2020-07-11,31,1,3
2020-07-12,105,0,46
2020-07-13,26,0,54
2020-07-14,90,0,63
2020-07-15,98,1,66
2020-07-16,98,0,33
2020-07-17,118,0,47
2020-07-18,171,2,51
2020-07-19,223,0,24
2020-07-20,202,2,86
2020-07-21,252,1,81
2020-07-22,126,1,107
2020-07-23,206,1,39
2020-07-24,100,1,59
2020-07-25,105,0,79
2020-07-26,37,2,152
2020-07-27,147,4,105
2020-07-28,221,4,154
2020-07-29,216,0,57
2020-07-30,219,0,284
2020-07-31,274,0,365
2020-08-01,252,2,136
2020-08-02,141,4,142
2020-08-03,0,0,0
2020-08-04,131,1,70
2020-08-05,122,2,50
2020-08-06,98,1,68
2020-08-07,128,5,67
2020-08-08,146,1,224
2020-08-09,147,4,92
2020-08-10,62,1,267
2020-08-11,164,1,213
2020-08-12,110,0,182
2020-08-13,121,1,74
2020-08-14,164,2,103
2020-08-15,167,4,73
2020-08-16,127,5,63
2020-08-17,143,4,135
2020-08-18,205,3,118
2020-08-19,236,3,93
2020-08-20,190,0,68
2020-08-21,256,4,86
2020-08-22,280,1,410
2020-08-23,331,2,121
2020-08-24,200,1,159
2020-08-25,293,6,73
2020-08-26,329,4,160
2020-08-27,385,2,123
2020-08-28,509,4,142
2020-08-29,443,5,198
2020-08-30,447,4,195
2020-08-31,321,5,201
2020-09-01,509,10,221
2020-09-02,566,5,193
2020-09-03,590,8,186
2020-09-04,524,3,179
2020-09-05,691,7,271
2020-09-06,603,8,262
2020-09-07,399,5,303
2020-09-08,628,3,294
2020-09-09,582,9,311
2020-09-10,535,6,340
2020-09-11,559,5,262
2020-09-12,470,10,479
2020-09-13,629,12,398
2020-09-14,255,6,404
2020-09-15,531,7,389
2020-09-16,454,10,510
2020-09-17,527,5,521
2020-09-18,273,6,603
2020-09-19,535,7,583
2020-09-20,525,4,645
2020-09-21,243,6,654
2020-09-22,559,3,419
2020-09-23,504,2,603
2020-09-24,451,7,492
2020-09-25,341,5,509
2020-09-26,278,3,505
2020-09-27,320,2,400
2020-09-28,193,3,567
2020-09-29,432,3,244
2020-09-30,381,1,489
2020-10-01,332,6,400
2020-10-02,296,3,504
2020-10-03,190,3,301
2020-10-04,322,4,513
2020-10-05,159,6,466
2020-10-06,275,2,255
2020-10-07,237,0,546
2020-10-08,214,3,389
2020-10-09,223,7,408
2020-10-10,171,2,327
2020-10-11,199,2,285
2020-10-12,109,1,317
2020-10-13,217,1,220
2020-10-14,181,1,418
2020-10-15,172,1,353
2020-10-16,162,4,371
2020-10-17,134,3,270
2020-10-18,141,3,187
2020-10-19,85,2,328
2020-10-20,135,0,198
2020-10-21,112,1,265
2020-10-22,125,2,239
2020-10-23,145,5,250
2020-10-24,65,1,238
2020-10-25,86,3,146
2020-10-26,36,0,183
2020-10-27,36,1,84
2020-10-28,160,0,202
2020-10-29,113,1,170
2020-10-30,97,1,212
2020-10-31,54,0,141
2020-11-01,77,0,170
2020-11-02,58,2,186
2020-11-03,137,2,84
2020-11-04,116,3,112
2020-11-05,132,0,115
2020-11-06,110,1,121
2020-11-07,87,2,126
2020-11-08,83,1,66
2020-11-09,26,2,107
2020-11-10,79,0,44
2020-11-11,84,0,49
2020-11-12,59,0,150
2020-11-13,76,1,106
2020-11-14,78,2,100
2020-11-15,26,0,64
2020-11-16,17,2,77
2020-11-17,77,0,76
2020-11-18,73,0,119
2020-11-19,105,0,106
2020-11-20,75,1,112
2020-11-21,75,1,116
2020-11-22,48,0,95
2020-11-23,19,3,90
2020-11-24,59,1,27
2020-11-25,35,0,72
2020-11-26,50,0,73
2020-11-27,32,0,58
2020-11-28,31,0,69
2020-11-29,0,0,0
2020-11-30,54,0,162
2020-12-01,31,0,34
2020-12-02,38,2,57
2020-12-03,39,0,58
2020-12-04,33,0,68
2020-12-05,24,0,62
2020-12-06,31,0,59
2020-12-07,6,1,42
2020-12-08,28,0,15
2020-12-09,20,0,44
2020-12-10,31,0,35
2020-12-11,21,1,46
2020-12-12,18,1,35
2020-12-13,23,1,25
2020-12-14,10,0,32
2020-12-15,9,0,25
2020-12-16,24,2,30
2020-12-17,17,0,32
2020-12-18,21,0,42
2020-12-19,26,0,30
2020-12-20,22,0,31
2020-12-21,8,2,29
2020-12-22,13,0,34
2020-12-23,15,3,18
2020-12-24,13,1,27
2020-12-25,9,0,17
2020-12-26,1,1,15
2020-12-27,11,0,23
2020-12-28,7,0,16
2020-12-29,2,0,10
2020-12-30,12,0,14
2020-12-31,6,0,16
2021-01-01,4,0,28
2021-01-02,8,0,16
2021-01-03,6,0,14
2021-01-04,1,0,6
2021-01-05,1,0,11
2021-01-06,2,2,9
2021-01-07,8,0,8
2021-01-08,5,1,9
2021-01-09,0,0,0
2021-01-10,8,0,10
2021-01-11,0,0,7
2021-01-12,2,0,3
2021-01-13,6,1,8
2021-01-14,5,0,6
2021-01-15,5,1,4
2021-01-16,4,1,7
2021-01-17,0,0,0
2021-01-18,3,0,5
2021-01-19,3,0,3
2021-01-20,1,0,2
2021-01-21,2,0,4
2021-01-22,4,0,5
2021-01-23,2,0,3
2021-01-24,0,0,0
2021-01-25,1,0,3
2021-01-26,1,0,5
2021-01-27,0,0,4
2021-01-28,0,0,3
2021-01-29,2,0,2
2021-01-30,2,0,2
2021-01-31,0,0,0
