Date,Confirmed,Deceased,Recovered
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,2,0,0
2020-03-20,5,0,0
2020-03-21,7,0,0
2020-03-22,4,1,0
2020-03-23,12,0,0
2020-03-24,4,0,0
2020-03-25,4,0,0
2020-03-26,5,2,0
2020-03-27,4,0,0
2020-03-28,8,1,0
2020-03-29,8,1,1
2020-03-30,7,1,2
2020-03-31,4,0,2
2020-04-01,13,0,0
2020-04-02,1,1,5
2020-04-03,7,2,0
2020-04-04,13,1,3
2020-04-05,20,1,8
2020-04-06,18,1,1
2020-04-07,29,2,3
2020-04-08,11,2,0
2020-04-09,76,2,1
2020-04-10,116,1,7
2020-04-11,90,3,11
2020-04-12,48,2,0
2020-04-13,56,2,10
2020-04-14,78,2,5
2020-04-15,116,5,5
2020-04-16,163,3,9
2020-04-17,170,5,13
2020-04-18,277,12,7
2020-04-19,367,10,12
2020-04-20,196,8,26
2020-04-21,239,19,8
2020-04-22,229,13,40
2020-04-23,217,9,79
2020-04-24,191,15,7
2020-04-25,256,6,17
2020-04-26,230,18,31
2020-04-27,247,11,81
2020-04-28,226,19,40
2020-04-29,308,16,93
2020-04-30,313,17,86
2020-05-01,326,22,123
2020-05-02,333,26,160
2020-05-03,374,28,146
2020-05-04,376,29,153
2020-05-05,441,49,186
2020-05-06,380,28,119
2020-05-07,388,29,209
2020-05-08,390,24,163
2020-05-09,394,23,219
2020-05-10,398,21,454
2020-05-11,347,20,235
2020-05-12,362,24,466
2020-05-13,364,29,316
2020-05-14,324,20,191
2020-05-15,340,20,282
2020-05-16,1057,19,273
2020-05-17,391,34,191
2020-05-18,366,35,305
2020-05-19,395,25,239
2020-05-20,398,30,176
2020-05-21,371,24,269
2020-05-22,363,29,392
2020-05-23,396,27,289
2020-05-24,394,29,243
2020-05-25,405,30,224
2020-05-26,361,27,501
2020-05-27,376,23,410
2020-05-28,367,22,454
2020-05-29,372,20,608
2020-05-30,412,27,621
2020-05-31,438,31,689
2020-06-01,423,25,861
2020-06-02,415,29,1114
2020-06-03,485,30,318
2020-06-04,492,33,455
2020-06-05,510,35,344
2020-06-06,498,29,313
2020-06-07,480,30,319
2020-06-08,477,31,321
2020-06-09,470,33,409
2020-06-10,510,34,370
2020-06-11,513,38,366
2020-06-12,495,31,392
2020-06-13,517,33,390
2020-06-14,511,29,442
2020-06-15,514,28,339
2020-06-16,524,28,418
2020-06-17,520,27,348
2020-06-18,510,31,389
2020-06-19,540,27,340
2020-06-20,539,20,535
2020-06-21,580,25,655
2020-06-22,563,21,560
2020-06-23,549,26,604
2020-06-24,572,25,575
2020-06-25,577,18,410
2020-06-26,580,18,532
2020-06-27,615,18,379
2020-06-28,624,19,391
2020-06-29,626,19,440
2020-06-30,620,20,422
2020-07-01,675,21,368
2020-07-02,681,19,563
2020-07-03,687,18,340
2020-07-04,712,21,473
2020-07-05,725,18,486
2020-07-06,735,17,423
2020-07-07,778,17,421
2020-07-08,783,16,569
2020-07-09,861,15,429
2020-07-10,875,14,441
2020-07-11,872,10,502
2020-07-12,879,13,513
2020-07-13,902,10,608
2020-07-14,915,14,749
2020-07-15,925,10,791
2020-07-16,919,10,828
2020-07-17,949,17,770
2020-07-18,960,19,1062
2020-07-19,965,20,877
2020-07-20,998,20,777
2020-07-21,1026,34,744
2020-07-22,1020,28,837
2020-07-23,1078,28,718
2020-07-24,1068,26,872
2020-07-25,1081,22,782
2020-07-26,1110,21,753
2020-07-27,1052,22,1015
2020-07-28,1108,24,1032
2020-07-29,1144,24,783
2020-07-30,1159,22,879
2020-07-31,1153,22,833
2020-08-01,1136,24,875
2020-08-02,1101,22,805
2020-08-03,1009,22,974
2020-08-04,1020,25,898
2020-08-05,1073,23,1046
2020-08-06,1034,27,917
2020-08-07,1074,22,1370
2020-08-08,1101,23,1135
2020-08-09,1078,25,1311
2020-08-10,1056,20,1138
2020-08-11,1118,23,1140
2020-08-12,1152,18,977
2020-08-13,1092,18,1046
2020-08-14,1087,15,1083
2020-08-15,1094,19,1015
2020-08-16,1120,20,959
2020-08-17,1033,15,1083
2020-08-18,1126,20,1131
2020-08-19,1145,17,1120
2020-08-20,1175,16,1123
2020-08-21,1204,14,1324
2020-08-22,1212,14,980
2020-08-23,1101,14,972
2020-08-24,1067,13,1021
2020-08-25,1096,20,1011
2020-08-26,1197,17,1047
2020-08-27,1190,17,1193
2020-08-28,1272,14,1050
2020-08-29,1282,13,1111
2020-08-30,1272,17,1095
2020-08-31,1280,14,1025
2020-09-01,1310,14,1131
2020-09-02,1305,12,1141
2020-09-03,1325,16,1126
2020-09-04,1320,14,1218
2020-09-05,1311,16,1148
2020-09-06,1335,14,1212
2020-09-07,1330,15,1276
2020-09-08,1295,13,1445
2020-09-09,1329,16,1336
2020-09-10,1332,15,1415
2020-09-11,1344,16,1240
2020-09-12,1365,15,1335
2020-09-13,1326,15,1205
2020-09-14,1334,17,1255
2020-09-15,1349,17,1444
2020-09-16,1364,12,1447
2020-09-17,1379,14,1652
2020-09-18,1410,16,1293
2020-09-19,1432,16,1470
2020-09-20,1407,17,1204
2020-09-21,1430,17,1316
2020-09-22,1402,16,1321
2020-09-23,1372,15,1289
2020-09-24,1408,14,1510
2020-09-25,1442,12,1279
2020-09-26,1417,13,1419
2020-09-27,1411,10,1231
2020-09-28,1404,12,1336
2020-09-29,1381,11,1383
2020-09-30,1390,11,1372
2020-10-01,1350,10,1334
2020-10-02,1310,15,1250
2020-10-03,1343,12,1304
2020-10-04,1302,9,1246
2020-10-05,1327,13,1405
2020-10-06,1335,10,1473
2020-10-07,1311,9,1414
2020-10-08,1278,10,1266
2020-10-09,1243,9,1518
2020-10-10,1221,10,1456
2020-10-11,1181,9,1413
2020-10-12,1169,8,1442
2020-10-13,1158,10,1375
2020-10-14,1175,11,1414
2020-10-15,1185,11,1329
2020-10-16,1191,11,1279
2020-10-17,1161,9,1270
2020-10-18,1091,9,1233
2020-10-19,996,8,1147
2020-10-20,1126,8,1128
2020-10-21,1137,9,1180
2020-10-22,1136,7,1201
2020-10-23,1112,6,1264
2020-10-24,1021,6,1013
2020-10-25,919,7,963
2020-10-26,908,4,1102
2020-10-27,992,5,1238
2020-10-28,980,6,1107
2020-10-29,987,4,1083
2020-10-30,969,6,1027
2020-10-31,935,5,1014
2020-11-01,860,5,1128
2020-11-02,875,4,1004
2020-11-03,954,6,1197
2020-11-04,975,6,1022
2020-11-05,990,7,1055
2020-11-06,1035,4,1321
2020-11-07,1046,5,931
2020-11-08,1020,7,819
2020-11-09,971,5,993
2020-11-10,1049,5,879
2020-11-11,1125,6,1352
2020-11-12,1120,6,1038
2020-11-13,1152,6,1078
2020-11-14,1124,6,995
2020-11-15,1070,6,1001
2020-11-16,926,5,1040
2020-11-17,1125,7,1116
2020-11-18,1281,8,1274
2020-11-19,1340,7,1113
2020-11-20,1420,7,1040
2020-11-21,1515,9,1271
2020-11-22,1495,13,1167
2020-11-23,1487,17,1234
2020-11-24,1510,16,1286
2020-11-25,1540,14,1283
2020-11-26,1560,16,1302
2020-11-27,1607,16,1388
2020-11-28,1598,15,1523
2020-11-29,1564,16,1451
2020-11-30,1502,20,1401
2020-12-01,1477,15,1547
2020-12-02,1512,14,1570
2020-12-03,1540,13,1427
2020-12-04,1510,18,1627
2020-12-05,1514,15,1535
2020-12-06,1455,17,1485
2020-12-07,1380,14,1568
2020-12-08,1325,15,1531
2020-12-09,1318,13,1550
2020-12-10,1270,12,1465
2020-12-11,1223,13,1403
2020-12-12,1204,12,1338
2020-12-13,1175,11,1347
2020-12-14,1120,11,1389
2020-12-15,1110,11,1236
2020-12-16,1160,10,1384
2020-12-17,1115,8,1305
2020-12-18,1075,9,1155
2020-12-19,1026,7,1252
2020-12-20,1010,7,1190
2020-12-21,960,7,1268
2020-12-22,988,7,1209
2020-12-23,958,6,1309
2020-12-24,990,8,1181
2020-12-25,910,6,1114
2020-12-26,890,7,1002
2020-12-27,850,7,920
2020-12-28,810,6,1016
2020-12-29,804,7,999
2020-12-30,799,7,834
2020-12-31,780,4,916
2021-01-01,734,3,907
2021-01-02,741,5,922
2021-01-03,715,4,938
2021-01-04,698,3,898
2021-01-05,655,4,868
2021-01-06,665,4,897
2021-01-07,667,3,899
2021-01-08,685,3,892
2021-01-09,675,5,851
2021-01-10,671,4,806
