Date,Confirmed,Deceased,Recovered
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,2,0,0
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,1,1,0
2020-03-24,0,0,0
2020-03-25,0,0,0
2020-03-26,0,0,0
2020-03-27,0,0,1
2020-03-28,0,0,1
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,3,0,0
2020-04-03,0,1,0
2020-04-04,7,0,0
2020-04-05,1,0,0
2020-04-06,4,0,0
2020-04-07,9,0,1
2020-04-08,0,0,0
2020-04-09,1,0,0
2020-04-10,0,0,0
2020-04-11,4,0,6
2020-04-12,0,0,4
2020-04-13,0,0,0
2020-04-14,1,0,1
2020-04-15,2,0,0
2020-04-16,0,0,3
2020-04-17,3,0,0
2020-04-18,1,0,0
2020-04-19,0,0,0
2020-04-20,0,0,0
2020-04-21,0,0,0
2020-04-22,0,0,0
2020-04-23,1,0,2
2020-04-24,0,0,0
2020-04-25,0,0,4
2020-04-26,0,0,0
2020-04-27,0,0,3
2020-04-28,0,0,0
2020-04-29,0,0,0
2020-04-30,0,0,3
2020-05-01,0,0,2
2020-05-02,0,0,3
2020-05-03,0,0,1
2020-05-04,1,0,0
2020-05-05,1,1,0
2020-05-06,1,0,0
2020-05-07,3,0,0
2020-05-08,4,0,0
2020-05-09,2,0,1
2020-05-10,6,0,0
2020-05-11,1,0,0
2020-05-12,8,0,0
2020-05-13,1,0,0
2020-05-14,6,0,0
2020-05-15,2,0,0
2020-05-16,2,0,4
2020-05-17,2,0,1
2020-05-18,10,0,2
2020-05-19,2,1,5
2020-05-20,18,0,3
2020-05-21,42,0,5
2020-05-22,16,0,0
2020-05-23,17,0,2
2020-05-24,18,0,2
2020-05-25,20,0,4
2020-05-26,24,0,0
2020-05-27,26,2,3
2020-05-28,8,0,7
2020-05-29,14,0,10
2020-05-30,18,0,24
2020-05-31,18,0,9
2020-06-01,9,0,2
2020-06-02,5,0,18
2020-06-03,14,0,10
2020-06-04,24,0,29
2020-06-05,10,0,10
2020-06-06,7,0,5
2020-06-07,11,0,28
2020-06-08,10,0,5
2020-06-09,16,0,14
2020-06-10,14,1,13
2020-06-11,19,0,26
2020-06-12,16,0,17
2020-06-13,16,0,16
2020-06-14,16,0,17
2020-06-15,38,0,16
2020-06-16,4,0,19
2020-06-17,25,0,7
2020-06-18,10,0,5
2020-06-19,32,0,12
2020-06-20,29,0,20
2020-06-21,17,0,12
2020-06-22,54,0,12
2020-06-23,48,0,3
2020-06-24,31,0,34
2020-06-25,33,1,8
2020-06-26,25,0,20
2020-06-27,30,0,7
2020-06-28,22,0,17
2020-06-29,26,0,38
2020-06-30,11,1,19
2020-07-01,26,0,42
2020-07-02,35,0,15
2020-07-03,19,0,39
2020-07-04,13,1,25
2020-07-05,17,0,28
2020-07-06,14,0,26
2020-07-07,6,0,27
2020-07-08,18,0,43
2020-07-09,39,0,13
2020-07-10,31,0,39
2020-07-11,11,0,23
2020-07-12,31,0,21
2020-07-13,30,0,11
2020-07-14,66,0,11
2020-07-15,32,0,28
2020-07-16,36,0,5
2020-07-17,40,0,40
2020-07-18,40,0,19
2020-07-19,64,0,29
2020-07-20,110,0,8
2020-07-21,33,1,10
2020-07-22,61,0,28
2020-07-23,109,0,31
2020-07-24,120,1,9
2020-07-25,95,0,28
2020-07-26,127,1,25
2020-07-27,94,0,18
2020-07-28,60,0,18
2020-07-29,73,0,98
2020-07-30,103,0,55
2020-07-31,58,0,72
2020-08-01,70,0,43
2020-08-02,69,0,57
2020-08-03,115,0,99
2020-08-04,61,0,52
2020-08-05,37,0,52
2020-08-06,131,0,103
2020-08-07,103,0,89
2020-08-08,114,0,127
2020-08-09,107,1,100
2020-08-10,92,2,24
2020-08-11,34,1,68
2020-08-12,139,0,89
2020-08-13,180,1,73
2020-08-14,58,0,116
2020-08-15,119,0,81
2020-08-16,163,0,88
2020-08-17,18,0,114
2020-08-18,61,0,89
2020-08-19,176,2,69
2020-08-20,127,2,93
2020-08-21,190,2,149
2020-08-22,167,4,107
2020-08-23,106,0,120
2020-08-24,100,0,123
2020-08-25,53,1,164
2020-08-26,167,2,62
2020-08-27,180,1,198
2020-08-28,136,0,141
2020-08-29,144,1,117
2020-08-30,164,1,142
2020-08-31,171,3,65
2020-09-01,139,4,173
2020-09-02,161,1,69
2020-09-03,199,5,98
2020-09-04,215,2,107
2020-09-05,188,4,21
2020-09-06,397,1,197
2020-09-07,245,1,221
2020-09-08,171,4,85
2020-09-09,316,3,142
2020-09-10,319,3,80
2020-09-11,318,5,158
2020-09-12,445,2,123
2020-09-13,326,4,152
2020-09-14,368,5,68
2020-09-15,412,8,250
2020-09-16,460,1,114
2020-09-17,395,7,388
2020-09-18,432,12,135
2020-09-19,286,5,403
2020-09-20,221,4,91
2020-09-21,309,7,288
2020-09-22,331,5,655
2020-09-23,280,5,446
2020-09-24,337,10,295
2020-09-25,293,7,296
2020-09-26,317,7,182
2020-09-27,195,11,629
2020-09-28,266,5,268
2020-09-29,290,3,364
2020-09-30,229,3,399
2020-10-01,243,9,218
2020-10-02,235,7,388
2020-10-03,241,8,197
2020-10-04,156,7,168
2020-10-05,182,7,292
2020-10-06,250,5,265
2020-10-07,282,2,418
2020-10-08,213,7,267
2020-10-09,199,7,278
2020-10-10,267,3,400
2020-10-11,164,2,190
2020-10-12,170,1,219
2020-10-13,184,3,312
2020-10-14,246,1,232
2020-10-15,295,5,153
2020-10-16,219,2,219
2020-10-17,275,3,234
2020-10-18,170,3,217
2020-10-19,168,4,201
2020-10-20,222,2,216
2020-10-21,264,5,219
2020-10-22,223,5,238
2020-10-23,196,1,202
2020-10-24,173,5,183
2020-10-25,157,1,272
2020-10-26,216,2,192
2020-10-27,231,5,214
2020-10-28,332,2,205
2020-10-29,327,6,199
2020-10-30,101,5,139
2020-10-31,482,6,321
2020-11-01,205,8,102
2020-11-02,334,10,339
2020-11-03,334,8,165
2020-11-04,433,11,110
2020-11-05,444,6,201
2020-11-06,88,4,215
2020-11-07,915,6,255
2020-11-08,674,6,150
2020-11-09,711,7,228
2020-11-10,611,12,424
2020-11-11,610,9,359
2020-11-12,765,6,199
2020-11-13,825,11,239
2020-11-14,322,8,337
2020-11-15,383,11,209
2020-11-16,443,8,540
2020-11-17,584,12,574
2020-11-18,661,13,518
2020-11-19,796,12,704
2020-11-20,588,11,726
2020-11-21,915,18,657
2020-11-22,627,19,644
2020-11-23,454,22,785
2020-11-24,948,12,463
2020-11-25,837,13,99
2020-11-26,931,14,913
2020-11-27,830,13,490
2020-11-28,650,11,270
2020-11-29,1026,12,940
2020-11-30,515,10,855
2020-12-01,709,21,761
2020-12-02,633,11,1027
2020-12-03,837,18,544
2020-12-04,803,13,578
2020-12-05,905,13,945
2020-12-06,553,11,520
2020-12-07,739,7,1106
2020-12-08,504,14,808
2020-12-09,729,12,819
2020-12-10,773,8,375
2020-12-11,651,20,770
2020-12-12,597,10,737
2020-12-13,424,8,740
2020-12-14,386,12,676
2020-12-15,435,11,577
2020-12-16,484,12,1046
2020-12-17,463,10,532
2020-12-18,482,9,639
2020-12-19,385,3,390
2020-12-20,319,6,1083
2020-12-21,294,9,596
2020-12-22,332,4,423
2020-12-23,437,5,594
2020-12-24,374,5,317
2020-12-25,292,3,623
2020-12-26,222,11,266
2020-12-27,158,6,610
2020-12-28,242,2,394
2020-12-29,214,4,552
2020-12-30,220,6,755
2020-12-31,163,3,341
2021-01-01,193,2,412
2021-01-02,149,2,339
2021-01-03,67,6,433
2021-01-04,122,2,304
2021-01-05,102,4,307
2021-01-06,105,2,260
2021-01-07,131,1,191
2021-01-08,136,2,171
2021-01-09,84,3,175
2021-01-10,86,1,202
2021-01-11,69,2,164
2021-01-12,75,0,174
2021-01-13,93,2,71
2021-01-14,62,0,81
2021-01-15,51,0,95
2021-01-16,71,1,83
2021-01-17,70,2,126
2021-01-18,35,1,103
2021-01-19,41,0,81
2021-01-20,63,0,72
2021-01-21,39,3,55
2021-01-22,41,0,81
2021-01-23,27,1,73
2021-01-24,21,2,52
2021-01-25,35,0,63
2021-01-26,12,0,59
2021-01-27,39,1,68
2021-01-28,60,0,52
2021-01-29,44,0,40
2021-01-30,94,2,52
2021-01-31,42,3,32
