Date,Confirmed,Deceased,Recovered
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,0,0,0
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,0,0,0
2020-03-24,0,0,0
2020-03-25,0,0,0
2020-03-26,0,0,0
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-03,0,0,0
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,0,0,0
2020-04-07,0,0,0
2020-04-08,0,0,0
2020-04-09,0,0,0
2020-04-10,0,0,0
2020-04-11,0,0,0
2020-04-12,0,0,0
2020-04-13,0,0,0
2020-04-14,0,0,0
2020-04-15,0,0,0
2020-04-16,0,0,0
2020-04-17,0,0,0
2020-04-18,0,0,0
2020-04-19,0,0,0
2020-04-20,0,0,0
2020-04-21,0,0,0
2020-04-22,0,0,0
2020-04-23,0,0,0
2020-04-24,0,0,0
2020-04-25,0,0,0
2020-04-26,0,0,0
2020-04-27,0,0,0
2020-04-28,0,0,0
2020-04-29,0,0,0
2020-04-30,0,0,0
2020-05-01,0,0,0
2020-05-02,0,0,0
2020-05-03,0,0,0
2020-05-04,0,0,0
2020-05-05,0,0,0
2020-05-06,0,0,0
2020-05-07,0,0,0
2020-05-08,0,0,0
2020-05-09,0,0,0
2020-05-10,0,0,0
2020-05-11,0,0,0
2020-05-12,0,0,0
2020-05-13,0,0,0
2020-05-14,0,0,0
2020-05-15,0,0,0
2020-05-16,0,0,0
2020-05-17,0,0,0
2020-05-18,0,0,0
2020-05-19,0,0,0
2020-05-20,0,0,0
2020-05-21,0,0,0
2020-05-22,0,0,0
2020-05-23,1,0,0
2020-05-24,0,0,0
2020-05-25,0,0,0
2020-05-26,0,0,0
2020-05-27,0,0,0
2020-05-28,0,0,0
2020-05-29,0,0,0
2020-05-30,0,0,0
2020-05-31,0,0,0
2020-06-01,0,0,0
2020-06-02,0,0,0
2020-06-03,1,0,0
2020-06-04,0,0,0
2020-06-05,1,0,0
2020-06-06,4,0,0
2020-06-07,0,0,0
2020-06-08,0,0,0
2020-06-09,6,0,3
2020-06-10,0,0,0
2020-06-11,0,0,0
2020-06-12,50,0,0
2020-06-13,0,0,2
2020-06-14,5,0,0
2020-06-15,0,0,0
2020-06-16,0,0,0
2020-06-17,2,0,0
2020-06-18,0,0,1
2020-06-19,0,0,16
2020-06-20,0,0,0
2020-06-21,8,0,4
2020-06-22,0,0,4
2020-06-23,1,0,0
2020-06-24,4,0,10
2020-06-25,2,0,0
2020-06-26,2,0,0
2020-06-27,0,0,10
2020-06-28,1,0,0
2020-06-29,0,0,0
2020-06-30,0,0,1
2020-07-01,1,0,2
2020-07-02,12,0,0
2020-07-03,1,0,0
2020-07-04,1,0,0
2020-07-05,22,0,9
2020-07-06,0,0,4
2020-07-07,2,0,0
2020-07-08,6,0,6
2020-07-09,1,0,0
2020-07-10,0,0,9
2020-07-11,26,0,0
2020-07-12,4,0,1
2020-07-13,2,0,6
2020-07-14,45,0,-1
2020-07-15,11,0,1
2020-07-16,13,0,0
2020-07-17,32,0,1
2020-07-18,19,0,2
2020-07-19,10,0,0
2020-07-20,22,0,2
2020-07-21,25,0,16
2020-07-22,108,0,4
2020-07-23,22,0,10
2020-07-24,17,0,15
2020-07-25,22,0,5
2020-07-26,46,1,5
2020-07-27,10,0,27
2020-07-28,24,0,12
2020-07-29,17,0,12
2020-07-30,14,0,16
2020-07-31,29,0,17
2020-08-01,11,0,38
2020-08-02,8,0,20
2020-08-03,30,0,8
2020-08-04,95,0,2
2020-08-05,17,0,4
2020-08-06,29,0,50
2020-08-07,25,0,53
2020-08-08,6,0,11
2020-08-09,6,0,80
2020-08-10,44,0,13
2020-08-11,3,0,24
2020-08-12,17,0,16
2020-08-13,1,0,31
2020-08-14,149,0,42
2020-08-15,68,0,38
2020-08-16,19,0,12
2020-08-17,20,0,28
2020-08-18,20,1,54
2020-08-19,25,1,34
2020-08-20,58,0,38
2020-08-21,46,0,7
2020-08-22,45,0,37
2020-08-23,22,0,0
2020-08-24,43,0,63
2020-08-25,29,0,120
2020-08-26,11,0,22
2020-08-27,56,0,75
2020-08-28,34,0,33
2020-08-29,26,0,11
2020-08-30,25,0,25
2020-08-31,25,0,5
2020-09-01,18,1,12
2020-09-02,34,0,23
2020-09-03,34,1,44
2020-09-04,105,0,17
2020-09-05,58,0,26
2020-09-06,9,0,24
2020-09-07,29,0,25
2020-09-08,19,2,17
2020-09-09,31,0,16
2020-09-10,20,0,41
2020-09-11,17,4,16
2020-09-12,29,2,17
2020-09-13,31,3,2
2020-09-14,33,0,16
2020-09-15,54,3,169
2020-09-16,48,0,32
2020-09-17,53,4,67
2020-09-18,29,3,68
2020-09-19,39,2,34
2020-09-20,49,1,3
2020-09-21,56,0,11
2020-09-22,66,0,23
2020-09-23,35,1,14
2020-09-24,64,1,31
2020-09-25,92,0,21
2020-09-26,48,0,22
2020-09-27,38,2,49
2020-09-28,25,2,18
2020-09-29,41,0,71
2020-09-30,75,2,68
2020-10-01,38,3,72
2020-10-02,42,1,34
2020-10-03,39,2,39
2020-10-04,43,2,32
2020-10-05,17,1,67
2020-10-06,25,3,40
2020-10-07,99,2,28
2020-10-08,12,1,35
2020-10-09,33,2,71
2020-10-10,42,1,95
2020-10-11,39,1,104
2020-10-12,7,1,5
2020-10-13,50,2,89
2020-10-14,42,0,61
2020-10-15,41,0,54
2020-10-16,31,0,48
2020-10-17,36,0,56
2020-10-18,30,1,32
2020-10-19,4,2,11
2020-10-20,42,1,50
2020-10-21,34,0,35
2020-10-22,50,0,48
2020-10-23,43,0,55
2020-10-24,49,0,25
2020-10-25,16,1,35
2020-10-26,5,1,5
2020-10-27,23,2,4
2020-10-28,12,0,11
2020-10-29,18,0,13
2020-10-30,20,0,33
2020-10-31,27,1,26
2020-11-01,18,1,34
2020-11-02,9,4,4
2020-11-03,37,0,5
2020-11-04,62,0,79
2020-11-05,29,2,38
2020-11-06,49,0,7
2020-11-07,51,1,19
2020-11-08,50,2,89
2020-11-09,12,1,16
2020-11-10,51,1,13
2020-11-11,36,2,48
2020-11-12,25,3,48
2020-11-13,47,1,17
2020-11-14,41,1,37
2020-11-15,42,2,52
2020-11-16,23,2,12
2020-11-17,27,1,7
2020-11-18,29,3,38
2020-11-19,32,0,36
2020-11-20,23,1,52
2020-11-21,59,0,32
2020-11-22,31,3,41
2020-11-23,14,1,61
2020-11-24,41,2,31
2020-11-25,42,0,44
2020-11-26,52,0,20
2020-11-27,37,1,40
2020-11-28,59,4,31
2020-11-29,19,1,35
2020-11-30,4,1,23
2020-12-01,42,1,5
2020-12-02,40,1,23
2020-12-03,28,0,8
2020-12-04,47,1,7
2020-12-05,21,3,9
2020-12-06,26,0,6
2020-12-07,6,2,17
2020-12-08,13,0,20
2020-12-09,24,0,19
2020-12-10,26,0,27
2020-12-11,27,1,31
2020-12-12,26,0,24
2020-12-13,22,0,30
2020-12-14,2,0,55
2020-12-15,25,1,33
2020-12-16,33,2,19
2020-12-17,8,1,19
2020-12-18,33,1,22
2020-12-19,122,0,25
2020-12-20,12,1,38
2020-12-21,3,0,17
2020-12-22,34,0,16
2020-12-23,22,1,2
2020-12-24,32,0,9
2020-12-25,20,0,23
2020-12-26,115,0,15
2020-12-27,46,0,16
2020-12-28,0,1,15
2020-12-29,19,0,13
2020-12-30,13,1,17
2020-12-31,12,0,15
2021-01-01,12,1,5
2021-01-02,10,1,13
2021-01-03,9,0,33
2021-01-04,1,0,22
2021-01-05,17,0,9
2021-01-06,13,0,42
2021-01-07,14,0,13
2021-01-08,14,0,86
2021-01-09,5,0,29
2021-01-10,4,0,22
2021-01-11,1,0,30
2021-01-12,7,0,16
2021-01-13,8,0,10
2021-01-14,7,1,155
2021-01-15,13,0,12
2021-01-16,5,0,10
2021-01-17,9,0,6
2021-01-18,0,0,9
2021-01-19,14,1,9
2021-01-20,5,0,1
2021-01-21,5,0,17
2021-01-22,1,0,9
2021-01-23,5,1,10
2021-01-24,3,1,9
2021-01-25,1,0,13
2021-01-26,6,0,17
2021-01-27,1,0,3
2021-01-28,5,0,3
2021-01-29,1,0,8
2021-01-30,3,0,6
2021-01-31,2,0,9
