Date,Confirmed,Deceased,Recovered
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,0,0,0
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,0,0,0
2020-03-24,0,0,0
2020-03-25,0,0,0
2020-03-26,1,0,0
2020-03-27,5,0,0
2020-03-28,3,0,0
2020-03-29,0,0,0
2020-03-30,1,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-03,0,0,0
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,0,0,0
2020-04-07,0,0,0
2020-04-08,1,0,0
2020-04-09,0,0,10
2020-04-10,0,0,0
2020-04-11,0,0,0
2020-04-12,0,0,0
2020-04-13,0,0,0
2020-04-14,0,0,0
2020-04-15,0,0,0
2020-04-16,0,0,1
2020-04-17,1,0,0
2020-04-18,2,0,0
2020-04-19,1,0,0
2020-04-20,1,0,0
2020-04-21,1,0,0
2020-04-22,1,0,0
2020-04-23,4,0,0
2020-04-24,7,0,0
2020-04-25,4,0,0
2020-04-26,0,0,0
2020-04-27,0,0,0
2020-04-28,0,0,4
2020-04-29,0,0,0
2020-04-30,0,0,1
2020-05-01,0,0,0
2020-05-02,0,0,10
2020-05-03,0,0,6
2020-05-04,0,0,0
2020-05-05,0,0,0
2020-05-06,0,0,0
2020-05-07,0,0,1
2020-05-08,0,0,0
2020-05-09,0,0,0
2020-05-10,0,0,0
2020-05-11,0,0,0
2020-05-12,0,0,0
2020-05-13,0,0,0
2020-05-14,0,0,0
2020-05-15,0,0,0
2020-05-16,0,0,0
2020-05-17,0,0,0
2020-05-18,0,0,0
2020-05-19,0,0,0
2020-05-20,0,0,0
2020-05-21,0,0,0
2020-05-22,0,0,0
2020-05-23,0,0,0
2020-05-24,0,0,0
2020-05-25,0,0,0
2020-05-26,0,0,0
2020-05-27,0,0,0
2020-05-28,0,0,0
2020-05-29,0,0,0
2020-05-30,0,0,0
2020-05-31,0,0,0
2020-06-01,0,0,0
2020-06-02,0,0,0
2020-06-03,0,0,0
2020-06-04,0,0,0
2020-06-05,0,0,0
2020-06-06,0,0,0
2020-06-07,0,0,0
2020-06-08,0,0,0
2020-06-09,1,0,0
2020-06-10,1,0,0
2020-06-11,3,0,0
2020-06-12,0,0,0
2020-06-13,0,0,0
2020-06-14,2,0,0
2020-06-15,1,0,0
2020-06-16,3,0,0
2020-06-17,0,0,0
2020-06-18,1,0,2
2020-06-19,2,0,0
2020-06-20,0,0,0
2020-06-21,1,0,2
2020-06-22,0,0,0
2020-06-23,2,0,3
2020-06-24,6,0,1
2020-06-25,2,0,0
2020-06-26,14,0,2
2020-06-27,0,0,0
2020-06-28,11,0,2
2020-06-29,7,0,0
2020-06-30,7,0,0
2020-07-01,3,0,5
2020-07-02,9,0,1
2020-07-03,7,0,3
2020-07-04,3,0,12
2020-07-05,6,0,6
2020-07-06,16,0,2
2020-07-07,6,0,0
2020-07-08,2,0,0
2020-07-09,7,0,9
2020-07-10,0,0,9
2020-07-11,0,0,0
2020-07-12,7,0,8
2020-07-13,3,0,9
2020-07-14,5,0,20
2020-07-15,5,0,1
2020-07-16,4,0,3
2020-07-17,0,0,0
2020-07-18,4,0,3
2020-07-19,15,0,0
2020-07-20,4,0,6
2020-07-21,5,0,8
2020-07-22,9,0,4
2020-07-23,19,0,7
2020-07-24,19,0,4
2020-07-25,31,0,2
2020-07-26,28,0,4
2020-07-27,20,1,12
2020-07-28,25,0,4
2020-07-29,65,1,5
2020-07-30,42,1,0
2020-07-31,78,2,13
2020-08-01,88,2,12
2020-08-02,98,1,16
2020-08-03,96,2,21
2020-08-04,98,2,14
2020-08-05,99,2,49
2020-08-06,96,2,29
2020-08-07,99,3,70
2020-08-08,129,1,75
2020-08-09,139,0,148
2020-08-10,135,0,61
2020-08-11,139,1,40
2020-08-12,136,0,80
2020-08-13,137,1,95
2020-08-14,149,2,108
2020-08-15,120,0,96
2020-08-16,93,4,98
2020-08-17,46,1,99
2020-08-18,84,1,96
2020-08-19,75,0,108
2020-08-20,76,1,109
2020-08-21,67,1,106
2020-08-22,61,0,109
2020-08-23,52,1,110
2020-08-24,44,2,129
2020-08-25,41,2,139
2020-08-26,40,4,78
2020-08-27,33,1,65
2020-08-28,32,0,70
2020-08-29,31,2,75
2020-08-30,23,1,67
2020-08-31,28,1,61
2020-09-01,28,0,67
2020-09-02,26,1,44
2020-09-03,37,1,65
2020-09-04,34,1,40
2020-09-05,35,1,41
2020-09-06,40,0,47
2020-09-07,27,0,46
2020-09-08,33,0,38
2020-09-09,34,1,43
2020-09-10,39,0,43
2020-09-11,29,0,36
2020-09-12,27,0,45
2020-09-13,25,0,41
2020-09-14,11,1,35
2020-09-15,17,0,40
2020-09-16,19,0,27
2020-09-17,11,0,33
2020-09-18,27,0,36
2020-09-19,13,0,22
2020-09-20,7,0,15
2020-09-21,22,0,18
2020-09-22,18,0,10
2020-09-23,21,0,15
2020-09-24,32,0,9
2020-09-25,15,0,25
2020-09-26,15,0,23
2020-09-27,20,1,2
2020-09-28,9,0,29
2020-09-29,18,0,5
2020-09-30,14,0,21
2020-10-01,13,0,15
2020-10-02,10,0,8
2020-10-03,10,0,11
2020-10-04,16,0,7
2020-10-05,15,1,10
2020-10-06,13,0,19
2020-10-07,23,0,18
2020-10-08,17,1,11
2020-10-09,24,0,17
2020-10-10,16,0,20
2020-10-11,13,0,20
2020-10-12,18,0,6
2020-10-13,13,0,12
2020-10-14,10,0,14
2020-10-15,16,0,21
2020-10-16,10,1,14
2020-10-17,11,0,17
2020-10-18,25,0,20
2020-10-19,18,0,24
2020-10-20,15,0,10
2020-10-21,27,0,11
2020-10-22,16,1,24
2020-10-23,23,1,8
2020-10-24,18,0,23
2020-10-25,20,0,15
2020-10-26,8,0,14
2020-10-27,21,0,22
2020-10-28,15,0,20
2020-10-29,16,1,15
2020-10-30,12,0,22
2020-10-31,15,0,24
2020-11-01,8,1,12
2020-11-02,12,0,20
2020-11-03,20,0,21
2020-11-04,17,0,10
2020-11-05,14,0,12
2020-11-06,17,0,19
2020-11-07,21,0,12
2020-11-08,9,0,15
2020-11-09,13,0,18
2020-11-10,14,0,16
2020-11-11,17,0,12
2020-11-12,13,1,15
2020-11-13,11,0,22
2020-11-14,9,0,11
2020-11-15,9,0,15
2020-11-16,21,0,16
2020-11-17,17,0,17
2020-11-18,19,0,15
2020-11-19,11,0,20
2020-11-20,13,0,10
2020-11-21,14,0,20
2020-11-22,10,0,12
2020-11-23,15,0,13
2020-11-24,11,0,11
2020-11-25,10,0,15
2020-11-26,5,0,12
2020-11-27,7,0,17
2020-11-28,9,0,10
2020-11-29,6,0,19
2020-11-30,6,0,13
2020-12-01,8,0,16
2020-12-02,5,0,17
2020-12-03,6,0,14
2020-12-04,13,0,14
2020-12-05,5,0,5
2020-12-06,11,0,8
2020-12-07,15,0,7
2020-12-08,5,0,16
2020-12-09,5,0,0
2020-12-10,8,0,5
2020-12-11,7,0,7
2020-12-12,7,0,6
2020-12-13,13,0,8
2020-12-14,16,0,8
2020-12-15,8,0,7
2020-12-16,8,0,10
2020-12-17,10,0,9
2020-12-18,9,0,5
2020-12-19,6,0,7
2020-12-20,6,0,13
2020-12-21,7,1,8
2020-12-22,5,0,9
2020-12-23,3,0,12
2020-12-24,5,0,14
2020-12-25,11,0,6
2020-12-26,0,0,8
2020-12-27,12,0,9
2020-12-28,5,0,5
2020-12-29,7,0,8
2020-12-30,5,0,9
2020-12-31,4,0,6
2021-01-01,1,0,4
2021-01-02,1,0,7
2021-01-03,1,0,9
2021-01-04,0,0,2
2021-01-05,1,0,8
2021-01-06,0,0,3
2021-01-07,9,0,5
2021-01-08,1,0,2
2021-01-09,0,0,7
2021-01-10,1,0,2
2021-01-11,3,0,9
2021-01-12,3,0,2
2021-01-13,3,0,5
2021-01-14,7,0,0
2021-01-15,3,0,4
2021-01-16,3,0,0
2021-01-17,1,0,1
2021-01-18,5,0,1
2021-01-19,1,0,0
2021-01-20,2,0,3
2021-01-21,0,0,4
2021-01-22,1,0,3
2021-01-23,1,0,0
2021-01-24,0,0,1
2021-01-25,1,0,9
2021-01-26,0,0,0
2021-01-27,0,0,5
2021-01-28,0,0,2
2021-01-29,0,0,3
2021-01-30,0,0,1
2021-01-31,0,0,0
