Date,Confirmed,Deceased,Recovered
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,0,0,0
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,0,0,0
2020-03-24,0,0,0
2020-03-25,0,0,0
2020-03-26,0,0,0
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-03,0,0,0
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,0,0,0
2020-04-07,0,0,0
2020-04-08,0,0,0
2020-04-09,0,0,0
2020-04-10,0,0,0
2020-04-11,0,0,0
2020-04-12,0,0,0
2020-04-13,0,0,0
2020-04-14,0,0,0
2020-04-15,0,0,0
2020-04-16,0,0,0
2020-04-17,0,0,0
2020-04-18,0,0,0
2020-04-19,0,0,0
2020-04-20,0,0,0
2020-04-21,0,0,0
2020-04-22,0,0,0
2020-04-23,0,0,0
2020-04-24,0,0,0
2020-04-25,0,0,0
2020-04-26,0,0,0
2020-04-27,0,0,0
2020-04-28,0,0,0
2020-04-29,0,0,0
2020-04-30,0,0,0
2020-05-01,0,0,0
2020-05-02,0,0,0
2020-05-03,0,0,0
2020-05-04,0,0,0
2020-05-05,0,0,0
2020-05-06,0,0,0
2020-05-07,0,0,0
2020-05-08,0,0,0
2020-05-09,0,0,0
2020-05-10,0,0,0
2020-05-11,0,0,0
2020-05-12,0,0,0
2020-05-13,0,0,0
2020-05-14,0,0,0
2020-05-15,0,0,0
2020-05-16,0,0,0
2020-05-17,0,0,0
2020-05-18,0,0,0
2020-05-19,0,0,0
2020-05-20,0,0,0
2020-05-21,0,0,0
2020-05-22,0,0,0
2020-05-23,0,0,0
2020-05-24,0,0,0
2020-05-25,3,0,0
2020-05-26,1,0,0
2020-05-27,5,0,0
2020-05-28,9,0,0
2020-05-29,7,0,0
2020-05-30,11,0,0
2020-05-31,7,0,0
2020-06-01,0,0,0
2020-06-02,6,0,0
2020-06-03,9,0,0
2020-06-04,22,0,0
2020-06-05,27,0,0
2020-06-06,0,0,8
2020-06-07,9,0,0
2020-06-08,6,0,0
2020-06-09,5,0,2
2020-06-10,1,0,12
2020-06-11,2,0,7
2020-06-12,26,0,28
2020-06-13,7,0,27
2020-06-14,10,0,4
2020-06-15,4,0,0
2020-06-16,2,0,15
2020-06-17,14,0,0
2020-06-18,0,0,6
2020-06-19,5,0,16
2020-06-20,3,0,13
2020-06-21,10,0,3
2020-06-22,69,0,0
2020-06-23,50,0,0
2020-06-24,17,0,7
2020-06-25,8,0,12
2020-06-26,16,0,2
2020-06-27,16,0,2
2020-06-28,28,0,0
2020-06-29,36,0,4
2020-06-30,8,0,0
2020-07-01,42,0,14
2020-07-02,34,0,15
2020-07-03,4,0,31
2020-07-04,24,0,0
2020-07-05,27,0,3
2020-07-06,35,0,12
2020-07-07,19,0,60
2020-07-08,13,0,1
2020-07-09,16,0,0
2020-07-10,59,0,0
2020-07-11,16,0,9
2020-07-12,26,0,14
2020-07-13,71,0,13
2020-07-14,51,0,6
2020-07-15,6,0,2
2020-07-16,14,0,43
2020-07-17,40,0,14
2020-07-18,22,0,27
2020-07-19,10,0,13
2020-07-20,33,0,39
2020-07-21,9,0,1
2020-07-22,54,0,1
2020-07-23,90,0,44
2020-07-24,65,1,7
2020-07-25,50,3,4
2020-07-26,50,0,8
2020-07-27,46,1,20
2020-07-28,75,-1,8
2020-07-29,53,0,18
2020-07-30,53,0,30
2020-07-31,127,0,10
2020-08-01,138,0,5
2020-08-02,104,0,8
2020-08-03,194,0,9
2020-08-04,276,0,2
2020-08-05,93,2,26
2020-08-06,82,0,134
2020-08-07,77,1,5
2020-08-08,31,0,69
2020-08-09,93,1,11
2020-08-10,230,0,69
2020-08-11,20,-1,12
2020-08-12,87,0,128
2020-08-13,50,0,26
2020-08-14,154,0,59
2020-08-15,18,0,123
2020-08-16,54,0,101
2020-08-17,61,0,108
2020-08-18,65,0,134
2020-08-19,38,0,42
2020-08-20,25,0,215
2020-08-21,36,0,153
2020-08-22,16,1,92
2020-08-23,51,0,128
2020-08-24,28,0,102
2020-08-25,38,0,215
2020-08-26,26,0,0
2020-08-27,6,0,124
2020-08-28,21,0,115
2020-08-29,46,0,58
2020-08-30,71,0,109
2020-08-31,28,0,41
2020-09-01,53,0,133
2020-09-02,14,0,22
2020-09-03,49,0,101
2020-09-04,41,0,37
2020-09-05,21,0,68
2020-09-06,50,0,77
2020-09-07,42,0,178
2020-09-08,25,0,54
2020-09-09,130,0,48
2020-09-10,261,0,5
2020-09-11,310,0,10
2020-09-12,118,0,31
2020-09-13,19,0,61
2020-09-14,131,0,14
2020-09-15,15,2,30
2020-09-16,34,0,41
2020-09-17,43,0,111
2020-09-18,51,0,29
2020-09-19,35,0,42
2020-09-20,59,0,78
2020-09-21,93,0,223
2020-09-22,60,0,40
2020-09-23,67,1,18
2020-09-24,59,0,89
2020-09-25,38,0,95
2020-09-26,94,0,89
2020-09-27,84,0,66
2020-09-28,11,1,49
2020-09-29,83,0,45
2020-09-30,123,0,83
2020-10-01,81,0,74
2020-10-02,74,0,67
2020-10-03,111,0,46
2020-10-04,123,0,51
2020-10-05,42,0,114
2020-10-06,68,0,37
2020-10-07,53,0,36
2020-10-08,21,0,66
2020-10-09,152,0,92
2020-10-10,61,0,33
2020-10-11,70,0,49
2020-10-12,221,1,70
2020-10-13,123,1,18
2020-10-14,53,3,82
2020-10-15,76,0,100
2020-10-16,112,0,91
2020-10-17,94,4,26
2020-10-18,118,0,65
2020-10-19,137,0,66
2020-10-20,67,0,60
2020-10-21,119,0,93
2020-10-22,157,0,39
2020-10-23,140,0,101
2020-10-24,79,3,97
2020-10-25,111,1,55
2020-10-26,37,2,67
2020-10-27,63,0,35
2020-10-28,61,1,114
2020-10-29,70,1,150
2020-10-30,51,4,210
2020-10-31,102,0,146
2020-11-01,28,0,79
2020-11-02,21,3,152
2020-11-03,55,0,180
2020-11-04,56,2,148
2020-11-05,57,1,144
2020-11-06,63,0,117
2020-11-07,128,0,54
2020-11-08,19,1,101
2020-11-09,29,0,73
2020-11-10,33,4,82
2020-11-11,42,0,90
2020-11-12,37,0,88
2020-11-13,23,2,81
2020-11-14,112,0,30
2020-11-15,135,0,20
2020-11-16,140,1,46
2020-11-17,163,0,37
2020-11-18,178,1,58
2020-11-19,94,0,52
2020-11-20,148,2,97
2020-11-21,66,1,33
2020-11-22,103,2,66
2020-11-23,75,2,38
2020-11-24,79,0,50
2020-11-25,60,0,66
2020-11-26,69,2,131
2020-11-27,31,1,211
2020-11-28,24,0,25
2020-11-29,44,0,174
2020-11-30,27,0,188
2020-12-01,23,0,108
2020-12-02,45,0,164
2020-12-03,29,0,52
2020-12-04,22,1,239
2020-12-05,35,0,0
2020-12-06,39,1,4
2020-12-07,39,0,5
2020-12-08,61,1,8
2020-12-09,29,0,62
2020-12-10,94,1,18
2020-12-11,32,0,66
2020-12-12,42,0,64
2020-12-13,33,0,7
2020-12-14,19,1,56
2020-12-15,33,0,31
2020-12-16,26,1,23
2020-12-17,33,3,78
2020-12-18,12,0,5
2020-12-19,9,0,25
2020-12-20,1,0,43
2020-12-21,16,0,50
2020-12-22,8,3,50
2020-12-23,11,1,50
2020-12-24,13,0,83
2020-12-25,5,0,36
2020-12-26,2,1,2
2020-12-27,0,0,23
2020-12-28,14,1,20
2020-12-29,6,0,6
2020-12-30,4,0,29
2020-12-31,6,0,21
2021-01-01,2,0,14
2021-01-02,0,0,5
2021-01-03,1,0,9
2021-01-04,5,0,9
2021-01-05,2,0,30
2021-01-06,17,1,22
2021-01-07,6,2,7
2021-01-08,4,1,4
2021-01-09,11,1,25
2021-01-10,3,0,0
2021-01-11,9,0,16
2021-01-12,10,0,12
2021-01-13,6,2,7
2021-01-14,32,0,11
2021-01-15,4,2,22
2021-01-16,15,0,2
2021-01-17,4,0,4
2021-01-18,3,0,4
2021-01-19,5,0,7
2021-01-20,1,0,7
2021-01-21,3,0,2
2021-01-22,2,0,5
2021-01-23,4,0,4
2021-01-24,0,0,1
2021-01-25,3,0,10
2021-01-26,2,0,3
2021-01-27,2,0,40
2021-01-28,1,0,5
2021-01-29,4,0,3
2021-01-30,2,0,2
2021-01-31,4,0,0
